unit_code,School_Name,Lea_Name,County,Year,Crime_Rate_Index_Rate,Crime_Rate_Violent_Rate,Crime_Rate_Property_Rate,Crime_Rate_Murder_Rate,Crime_Rate_Rape_Rate,Crime_Rate_Robbery_Rate,Crime_Rate_Assault_Rate,Crime_Rate_Burglary_Rate,Crime_Rate_Larceny_Rate,Crime_Rate_MVT_Rate,Crime_Rate_Arson_Rate
010303,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010362,Marvin B Smith Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010364,North Graham Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010372,"Pleasant Grove Elementary, Burlington",Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010374,R Homer Andrews Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010378,Ray Street Academy,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010380,South Graham Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010384,South Mebane Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010388,Southern High,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010392,Sylvan Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010394,Turrentine Middle,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010396,Walter M Williams High,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010400,Western Alamance High,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010403,Western Middle,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010406,Woodlawn Middle,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010LEA,,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010360,Hugh M Cummings High,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010358,Hillcrest Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010390,"Southern Middle, Graham",Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010354,Harvey R Newlin Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010357,Haw River Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010308,Altamahaw Ossipee Elem,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010310,Broadview Middle,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010311,Career Technical Education Center,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010312,"Highland Elementary, Burlington",Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010320,E M Yoder Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010324,Eastern Alamance High,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010326,Eastlawn Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010304,Alexander Wilson Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010353,Hawfields Middle,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010340,Elon Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010346,B Everett Jordan Elem,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010347,Garrett Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010348,Graham High,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010350,Graham Middle,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010351,Grove Park Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
010328,Edwin M Holt Elementary,Alamance-Burlington Schools,Alamance County,2014,3235.3,381.2,2854.1,2.0,19.0,86.3,274.0,823.2,1916.4,114.4,9.8
020328,Taylorsville Elementary,Alexander County Schools,Alexander County,2014,2289.2,154.9,2134.3,8.0,13.4,13.4,120.2,817.4,1226.1,90.8,26.7
020324,Sugar Loaf Elementary,Alexander County Schools,Alexander County,2014,2289.2,154.9,2134.3,8.0,13.4,13.4,120.2,817.4,1226.1,90.8,26.7
020320,Stony Point Elementary,Alexander County Schools,Alexander County,2014,2289.2,154.9,2134.3,8.0,13.4,13.4,120.2,817.4,1226.1,90.8,26.7
020316,Hiddenite Elementary,Alexander County Schools,Alexander County,2014,2289.2,154.9,2134.3,8.0,13.4,13.4,120.2,817.4,1226.1,90.8,26.7
020308,Ellendale Elementary,Alexander County Schools,Alexander County,2014,2289.2,154.9,2134.3,8.0,13.4,13.4,120.2,817.4,1226.1,90.8,26.7
020304,Bethlehem Elementary,Alexander County Schools,Alexander County,2014,2289.2,154.9,2134.3,8.0,13.4,13.4,120.2,817.4,1226.1,90.8,26.7
020302,Alexander Central High,Alexander County Schools,Alexander County,2014,2289.2,154.9,2134.3,8.0,13.4,13.4,120.2,817.4,1226.1,90.8,26.7
020330,West Alexander Middle,Alexander County Schools,Alexander County,2014,2289.2,154.9,2134.3,8.0,13.4,13.4,120.2,817.4,1226.1,90.8,26.7
