Feature,Pearson,Linear Regression,RFE,Lasso,Ridge,Elastic Net,Total
EOGReadingGr3-8_GLP_SWD,True,True,True,True,True,True,6
EOGReadingGr3-8_CACR_SWD,True,True,True,True,True,True,6
EOGMathGr4_CACR_EDS,True,True,True,True,True,True,6
EOG/EOCSubjects_CACR_Hispanic,True,True,True,True,True,True,6
EOG/EOCSubjects_CACR_EDS,True,True,True,True,True,True,6
EOG/EOCSubjects_CACR_All,True,True,True,True,True,True,6
Does Not Meet Expected Growth_TCHR_Student Growth_Pct,True,True,True,True,True,True,6
Does Not Meet Expected Growth_TCHR_Standard 6_Pct,True,True,True,True,True,True,6
Distinguished_TCHR_Standard 5_Pct,True,True,True,True,True,True,6
Distinguished_TCHR_Standard 3_Pct,True,True,True,True,True,True,6
Distinguished_TCHR_Standard 2_Pct,True,True,True,True,True,True,6
Distinguished_TCHR_Standard 1_Pct,True,True,True,True,True,True,6
Developing_TCHR_Standard 5_Pct,True,True,True,True,True,True,6
Developing_TCHR_Standard 4_Pct,True,True,True,True,True,True,6
Developing_TCHR_Standard 3_Pct,True,True,True,True,True,True,6
Developing_TCHR_Standard 1_Pct,True,True,True,True,True,True,6
Crime_Rate_Murder_Rate,True,True,True,True,True,True,6
BlackPct,True,True,True,True,True,True,6
Accomplished_TCHR_Standard 5_Pct,True,True,True,True,True,True,6
Accomplished_TCHR_Standard 4_Pct,True,True,True,True,True,True,6
Accomplished_TCHR_Standard 3_Pct,True,True,True,True,True,True,6
Accomplished_TCHR_Standard 2_Pct,True,True,True,True,True,True,6
Accomplished_TCHR_Standard 1_Pct,True,True,True,True,True,True,6
4-10 Years_LEA_Exp_Pct_Prin,True,True,True,True,True,True,6
10+ Years_LEA_Exp_Pct_Prin,True,True,True,True,True,True,6
05_Size,True,True,True,True,True,True,6
04_Size,True,True,True,True,True,True,6
03_Size,True,True,True,True,True,True,6
02_Size,True,True,True,True,True,True,6
00_Size,True,True,True,True,True,True,6
0-3 Years_LEA_Exp_Pct_Prin,True,True,True,True,True,True,6
EOGMathGr3_CACR_AmericanIndian,False,True,True,True,True,True,5
EOGGr5_CACR_All,True,True,False,True,True,True,5
EOGGr4_CACR_LEP,False,True,True,True,True,True,5
EOGGr3_CACR_SWD,True,False,True,True,True,True,5
EOG/EOCSubjects_CACR_TwoorMoreRaces,True,True,False,True,True,True,5
EOG/EOCSubjects_CACR_SWD,True,False,True,True,True,True,5
EOCSubjects_GLP_LEP,False,True,True,True,True,True,5
EOCSubjects_CACR_LEP,False,True,True,True,True,True,5
EOCMathI_GLP_SWD,False,True,True,True,True,True,5
EOCMathI_CACR_Female,False,True,True,True,True,True,5
Distinguished_TCHR_Standard 4_Pct,True,True,False,True,True,True,5
Developing_TCHR_Standard 2_Pct,True,True,False,True,True,True,5
Crime_Rate_Rape_Rate,False,True,True,True,True,True,5
Crime_Rate_Arson_Rate,False,True,True,True,True,True,5
Byod_Yes,False,True,True,True,True,True,5
AsianPct,False,True,True,True,True,True,5
Alternative minimum tax Ct 50KLT75K,False,True,True,True,True,True,5
Alternative minimum tax Amt LT25K,False,True,True,True,True,True,5
Alternative minimum tax Amt 25KLT50K,False,True,True,True,True,True,5
01_Size,False,True,True,True,True,True,5
(TCE) prepared returns Ct 100KLT200K,False,True,True,True,True,True,5
tchyrs_4thru10_pct,True,True,True,False,True,False,4
tchyrs_11plus_pct,True,True,True,False,True,False,4
tchyrs_0thru3_pct,True,True,True,False,True,False,4
stud_internet_comp_num,True,True,True,False,True,False,4
