feature_names,weights,absolute_weights
Number of farm returns All,87303659197.14725,87303659197.14725
"calendar_type_txt_Regular School, Traditional Calendar",-62061987809.77972,62061987809.77972
school_type_txt_Regular School,52776103434.98275,52776103434.98275
"calendar_type_txt_Regular School, Year-Round Calendar",-35944802017.98341,35944802017.98341
Number of farm returns 100KLT200K,-32770452640.90657,32770452640.90657
TwoOrMorePct,-23037090555.792446,23037090555.792446
Number of farm returns LT25K,-20057103311.03107,20057103311.03107
Number of farm returns 25KLT50K,-18610942623.924114,18610942623.924114
Number of farm returns 50KLT75K,-17513533926.951294,17513533926.951294
Number of farm returns 75KLT100K,-14021596239.931656,14021596239.931656
TwoOrMoreMalePct,13592516022.459492,13592516022.459492
TwoOrMoreFemalePct,12701766714.63408,12701766714.63408
"calendar_type_txt_Regular School, Traditional Calendar plus Year-Round Calendar",-6323425771.900934,6323425771.900934
Number of farm returns GE200K,-4573086753.901248,4573086753.901248
st_avg_daily_attend_pct,0.15252069906488996,0.15252069906488996
st_tchyrs_11plus_pct,-0.10671643549693112,0.10671643549693112
0-3 Years_LEA_Exp_Pct_Prin,0.10595146464154642,0.10595146464154642
4-10 Years_LEA_Exp_Pct_Prin,0.09131033851075275,0.09131033851075275
lea_tchyrs_11plus_pct,-0.07456447439373695,0.07456447439373695
tchyrs_0thru3_pct,0.06863002312497445,0.06863002312497445
lea_highqual_class_all_pct,-0.06648420963446244,0.06648420963446244
10+ Years_LEA_Exp_Pct_Prin,0.06607632227034403,0.06607632227034403
lea_tchyrs_0thru3_pct,-0.06050476135567545,0.06050476135567545
tchyrs_11plus_pct,0.05358195486499653,0.05358195486499653
lea_tchyrs_4thru10_pct,-0.04351549799141145,0.04351549799141145
tchyrs_4thru10_pct,0.03806811159912442,0.03806811159912442
lea_salary,-0.030145666402898924,0.030145666402898924
flicensed_teach_pct,-0.025256230649842934,0.025256230649842934
st_highqual_class_pct,0.020984545211180573,0.020984545211180573
Add child tax credit Amt 25KLT50K,-0.016009211592405898,0.016009211592405898
lea_highqual_class_pct,-0.015031235120308352,0.015031235120308352
Year,-0.014385909582508865,0.014385909582508865
Proficient_TCHR_Standard 5_Pct,0.013034105188529726,0.013034105188529726
Crime_Rate_Violent_Rate,-0.012645629134764502,0.012645629134764502
lea_local_perpupil_num,0.011847352940514085,0.011847352940514085
lea_wap_num,0.011437333421181455,0.011437333421181455
Distinguished_TCHR_Standard 2_Pct,-0.01088463753756378,0.01088463753756378
Proficient_TCHR_Standard 2_Pct,-0.01064265361843902,0.01064265361843902
Distinguished_TCHR_Standard 5_Pct,0.010529857250044964,0.010529857250044964
lea_state_perpupil_num,0.010501148327266934,0.010501148327266934
st_short_susp_per_c_num,-0.010303754917795147,0.010303754917795147
lateral_teach_pct,-0.010066183950007879,0.010066183950007879
Accomplished_TCHR_Standard 5_Pct,0.009839301851554877,0.009839301851554877
Proficient_TCHR_Standard 1_Pct,0.00954898495025761,0.00954898495025761
EOCMathI_CACR_Female,-0.009332131926634941,0.009332131926634941
st_avg_student_num,0.009030665301970577,0.009030665301970577
Accomplished_TCHR_Standard 2_Pct,-0.008535370394275143,0.008535370394275143
04_Size,0.008484351457771962,0.008484351457771962
Domestic production activities deduction Ct 75KLT100K,0.0081871418706535,0.0081871418706535
SPG Grade_I,-0.007911300288929187,0.007911300288929187
(VITA) prepared returns Ct 50KLT75K,0.00788936892826483,0.00788936892826483
03_Size,-0.007872804307926596,0.007872804307926596
Add Medicare tax Amt 100KLT200K,-0.007813648427670728,0.007813648427670728
SPG Score,-0.007771351743478076,0.007771351743478076
lea_ap_participation_pct,0.0075584735024620715,0.0075584735024620715
lea_sat_avg_score_num,-0.007325897804988608,0.007325897804988608
EOGSubjects_CACR_Hispanic,0.007155785615783028,0.007155785615783028
Crime_Rate_Robbery_Rate,0.0071494444197498,0.0071494444197498
lea_federal_perpupil_num,0.006779439325837314,0.006779439325837314
st_tchyrs_0thru3_pct,0.006671266059559537,0.006671266059559537
EOGGr5_CACR_All,-0.006655991183840157,0.006655991183840157
SPG Grade_C,-0.006524371695233341,0.006524371695233341
Reading  SPG Score,-0.006513556830129787,0.006513556830129787
EOG/EOCSubjects_CACR_Black,0.006455927136563548,0.006455927136563548
ReadingGr3-8_pTarget_PctMet,0.006411345280585382,0.006411345280585382
Crime_Rate_Murder_Rate,0.006024744548814541,0.006024744548814541
EOGMathGr4_CACR_EDS,0.005994211612104518,0.005994211612104518
EOGReadingGr3-8_CACR_SWD,-0.0059862498324275235,0.0059862498324275235
esea_attendance_Met,-0.005737827108722398,0.005737827108722398
Science Score,0.005648043546950279,0.005648043546950279
EOGSubjects_CACR_AIG,-0.005629134067138521,0.005629134067138521
Domestic production activities deduction Amt 75KLT100K,-0.005529617335825672,0.005529617335825672
EOCMathI_CACR_White,0.005445124147434749,0.005445124147434749
EOGReadingGr4_GLP_SWD,-0.005286778722669787,0.005286778722669787
Crime_Rate_Arson_Rate,-0.005277600459552153,0.005277600459552153
01_Size,0.005273564069022223,0.005273564069022223
EOGGr3_CACR_All,-0.005137995345022239,0.005137995345022239
EOGScienceGr5&8_GLP_SWD,-0.005053483711943439,0.005053483711943439
EOGReadingGr4_CACR_SWD,0.00498704141826642,0.00498704141826642
pct_GCE_ALL,-0.0048651626209421164,0.0048651626209421164
EOG/EOCSubjects_CACR_Hispanic,-0.004852756084176704,0.004852756084176704
Developing_TCHR_Standard 4_Pct,0.004812691607169836,0.004812691607169836
TotalTargets_pTarget_PctMet,-0.004748930473010875,0.004748930473010875
EOGSubjects_CACR_Asian,-0.004744661589728034,0.004744661589728034
lea_highqual_class_lp_pct,0.004731964685489608,0.004731964685489608
00_Size,-0.004665997904596549,0.004665997904596549
EOGScienceGr5_GLP_SWD,0.004647443643755554,0.004647443643755554
EOGReadingGr3-8_GLP_SWD,0.004611670454369479,0.004611670454369479
lea_wap_per_classroom,-0.004542272559362428,0.004542272559362428
Attrtion_Reason_OtherReasons,0.004513313528497273,0.004513313528497273
EOGReadingGr4_CACR_EDS,-0.00445579228420055,0.00445579228420055
EOGScienceGr5_CACR_EDS,-0.004373157232594964,0.004373157232594964
EOGMathGr5_CACR_White,0.00427754348782344,0.00427754348782344
EOGSubjects_CACR_TwoorMoreRaces,-0.0042327373845359876,0.0042327373845359876
Self-employment retirement plans Amt 25KLT50K,0.004220847663347772,0.004220847663347772
MathGr3-8_pTarget_PctMet,0.00418011636518447,0.00418011636518447
EOG/EOCSubjects_CACR_TwoorMoreRaces,0.0041791249201132245,0.0041791249201132245
05_Size,-0.0041220806680055885,0.0041220806680055885
EOG/EOCSubjects_CACR_Asian,0.00410750941296752,0.00410750941296752
Partnership/S-corp net income (less loss) Amt LT25K,-0.004076685390090691,0.004076685390090691
Reading SPG Grade_D,0.004067798758458087,0.004067798758458087
lea_avg_student_num,-0.004017772224939134,0.004017772224939134
st_long_susp_per_c_num,0.003968568683366963,0.003968568683366963
EOGMathGr5_CACR_Hispanic,0.003951499542853456,0.003951499542853456
State and local general sales taxes Amt GE200K,0.003927749425002024,0.003927749425002024
wap_per_classroom,0.003924497775080259,0.003924497775080259
EOGScienceGr5&8_CACR_White,-0.003860349121855097,0.003860349121855097
Alternative minimum tax Amt 50KLT75K,0.003852344597350792,0.003852344597350792
category_cd_E,0.003828295970314653,0.003828295970314653
EOGScienceGr5&8_CACR_Hispanic,-0.003795068029482184,0.003795068029482184
EOGMathGr3_CACR_White,-0.0037775183422451546,0.0037775183422451546
EOGSubjects_CACR_Black,-0.003765157519127529,0.003765157519127529
SPG Grade_D,-0.003720989628610229,0.003720989628610229
(TCE) prepared returns Ct 75KLT100K,0.003657016610381002,0.003657016610381002
Alternative minimum tax Ct 50KLT75K,-0.003655143652765895,0.003655143652765895
EOGGr3_CACR_SWD,0.003633934988667649,0.003633934988667649
EOGGr3_CACR_White,0.003600173099522755,0.003600173099522755
Reading SPG Grade_C,0.0035814718508345297,0.0035814718508345297
lea_books_per_student,0.0035720478555076943,0.0035720478555076943
LEACode,0.0034924739067244675,0.0034924739067244675
Earned income credit Amt 50KLT75K,-0.0034869695843582106,0.0034869695843582106
Proficient_TCHR_Standard 4_Pct,-0.003368600698795538,0.003368600698795538
lea_ap_pct_3_or_above,0.00335431878563096,0.00335431878563096
EOGReadingGr3_CACR_Hispanic,0.0033490876654578526,0.0033490876654578526
