,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
lea_tchyrs_0thru3_pct,0.64,0.59,1.0,1.0,0.07,1.0,1.0,0.81,0.76
Crime_Rate_Murder_Rate,0.64,0.62,0.54,0.59,0.85,0.02,0.23,0.5,0.5
lea_services_expense_pct,0.77,0.55,0.42,0.44,1.0,0.14,0.31,0.28,0.49
Attrition_Reason_OtherReasonsPerct,0.64,0.49,0.46,0.46,0.89,0.16,0.26,0.51,0.48
st_crime_per_c_num,1.0,0.46,0.47,0.5,0.98,0.0,0.11,0.31,0.48
lea_flicensed_teach_pct,0.64,0.26,0.0,0.0,0.73,0.25,0.87,1.0,0.47
Attrition_Reason_OtherReasons,0.64,0.59,0.38,0.48,0.76,0.01,0.0,0.83,0.46
lea_federal_perpupil_num,0.7,0.55,0.33,0.39,1.0,0.02,0.24,0.29,0.44
Health care individual responsibility payment Amt GE200K,0.64,1.0,0.33,0.42,0.87,0.0,0.0,0.2,0.43
Crime_Rate_Robbery_Rate,0.64,0.47,0.33,0.36,0.87,0.01,0.05,0.69,0.43
Number of farm returns 100KLT200K,0.6,0.64,0.33,0.36,0.94,0.0,0.06,0.46,0.42
Number of farm returns All,0.74,0.49,0.33,0.36,0.93,0.01,0.1,0.36,0.42
lea_sat_participation_pct,0.64,0.53,0.44,0.5,0.6,0.02,0.03,0.57,0.42
st_tchyrs_11plus_pct,0.89,0.44,0.33,0.36,0.91,0.01,0.05,0.33,0.42
Tuition and fees deduction Amt 75KLT100K,0.64,0.78,0.33,0.36,0.88,0.0,0.02,0.33,0.42
lea_state_perpupil_num,0.78,0.42,0.33,0.36,1.0,0.01,0.07,0.32,0.41
lea_tchyrs_11plus_pct,0.64,0.29,0.33,0.36,0.89,0.04,0.33,0.39,0.41
st_flicensed_teach_pct,0.95,0.41,0.33,0.36,0.96,0.0,0.05,0.22,0.41
(TCE) prepared returns Ct 25KLT50K,0.64,0.61,0.33,0.36,0.88,0.01,0.04,0.4,0.41
(VITA) prepared returns Ct 100KLT200K,0.64,0.59,0.33,0.36,0.77,0.0,0.02,0.56,0.41
lea_salary_expense_pct,0.85,0.3,0.16,0.15,0.99,0.01,0.3,0.4,0.4
lea_supplies_expense_pct,0.77,0.44,0.33,0.36,1.0,0.01,0.08,0.23,0.4
st_long_susp_per_c_num,0.68,0.46,0.33,0.36,0.96,0.0,0.1,0.29,0.4
Avg Personal Property Taxes,0.64,0.48,0.33,0.36,0.57,0.02,0.1,0.72,0.4
Attrition_Reason_PersonalPerct,0.64,0.45,0.33,0.36,0.9,0.02,0.02,0.5,0.4
lea_avg_daily_attend_pct,0.64,0.49,0.33,0.4,0.71,0.02,0.14,0.49,0.4
Domestic production activities deduction Ct 75KLT100K,0.64,0.74,0.42,0.56,0.67,0.0,0.0,0.17,0.4
Self-employed (Keogh) retirement plans Ct LT25K,0.64,0.59,0.36,0.37,0.86,0.0,0.01,0.37,0.4
lateral_teach_pct,0.64,0.37,0.33,0.36,0.7,0.0,0.41,0.34,0.39
Pct of Anticipation Checks,0.64,0.42,0.33,0.36,0.74,0.01,0.2,0.45,0.39
lea_wap_num,0.64,0.55,0.33,0.36,0.75,0.01,0.01,0.45,0.39
Crime_Rate_Rape_Rate,0.64,0.53,0.43,0.49,0.77,0.01,0.01,0.25,0.39
Number of farm returns 50KLT75K,0.62,0.52,0.33,0.37,0.93,0.0,0.03,0.35,0.39
lea_ib_pct_4_or_above,0.64,0.52,0.33,0.37,0.71,0.0,0.0,0.54,0.39
Domestic production activities deduction Amt 50KLT75K,0.64,0.5,0.33,0.38,0.79,0.0,0.03,0.46,0.39
Number of farm returns LT25K,0.62,0.47,0.33,0.36,0.92,0.01,0.12,0.27,0.39
Avg Tot Income,0.64,0.48,0.33,0.45,0.87,0.02,0.04,0.29,0.39
Excess earned income credit (refundable) Amt 50KLT75K,0.64,0.61,0.33,0.36,0.76,0.0,0.01,0.42,0.39
flicensed_teach_pct,0.64,0.35,0.33,0.36,0.69,0.0,0.41,0.33,0.39
Alternative minimum tax Ct 75KLT100K,0.64,0.75,0.33,0.36,0.82,0.0,0.0,0.19,0.39
lea_ap_pct_3_or_above,0.64,0.48,0.3,0.32,0.67,0.01,0.26,0.46,0.39
Domestic production activities deduction Ct 50KLT75K,0.64,0.31,0.34,0.38,0.84,0.0,0.05,0.46,0.38
st_nbpts_num,0.77,0.43,0.33,0.36,0.97,0.0,0.02,0.19,0.38
Pct of Farm Returns,0.64,0.38,0.33,0.37,0.71,0.03,0.02,0.55,0.38
lea_tchyrs_4thru10_pct,0.64,0.35,0.33,0.36,0.88,0.06,0.12,0.3,0.38
st_short_susp_per_c_num,0.44,0.46,0.33,0.36,0.99,0.0,0.13,0.31,0.38
lea_sat_avg_score_num,0.64,0.3,0.21,0.13,0.68,0.25,0.25,0.61,0.38
lea_instruct_equip_exp_pct,0.7,0.53,0.33,0.37,0.99,0.02,0.01,0.11,0.38
lea_ap_participation_pct,0.64,0.5,0.44,0.45,0.66,0.01,0.02,0.28,0.38
lea_local_perpupil_num,0.78,0.37,0.33,0.36,1.0,0.01,0.0,0.19,0.38
SBE District_Southwest,0.64,0.55,0.39,0.43,0.81,0.0,0.01,0.13,0.37
Domestic production activities deduction Ct LT25K,0.64,0.61,0.33,0.36,0.81,0.0,0.02,0.21,0.37
tchyrs_0thru3_pct,0.64,0.48,0.33,0.36,0.69,0.0,0.27,0.2,0.37
Investment interest paid Amt 25KLT50K,0.64,0.7,0.33,0.36,0.75,0.0,0.03,0.18,0.37
Investment interest paid Ct LT25K,0.64,0.44,0.33,0.36,0.8,0.0,0.01,0.35,0.37
MathGr3-8_pTarget_PctMet,0.64,0.73,0.33,0.41,0.68,0.0,0.03,0.17,0.37
Number of farm returns 25KLT50K,0.62,0.42,0.33,0.36,0.93,0.01,0.07,0.22,0.37
Number of refund anticipation loan returns 50KLT75K,0.64,0.53,0.34,0.44,0.8,0.0,0.0,0.19,0.37
SBE District_Sandhills,0.64,0.49,0.36,0.42,0.74,0.0,0.02,0.26,0.37
Number of volunteer prepared returns Tot 50KLT75K,0.64,0.52,0.33,0.36,0.8,0.0,0.01,0.28,0.37
school_type_txt_Magnet School,0.7,0.51,0.33,0.36,0.97,0.0,0.0,0.09,0.37
Number of farm returns GE200K,0.63,0.3,0.34,0.36,0.92,0.0,0.01,0.43,0.37
Other non-limited misc deduction Ct LT25K,0.64,0.41,0.33,0.36,0.85,0.0,0.0,0.4,0.37
Other non-limited misc deduction Ct 75KLT100K,0.64,0.58,0.33,0.36,0.74,0.0,0.01,0.27,0.37
Other non-limited misc deduction Amt LT25K,0.64,0.49,0.33,0.36,0.81,0.0,0.0,0.31,0.37
lea_short_susp_per_c_num,0.64,0.44,0.33,0.36,0.28,0.12,0.14,0.64,0.37
"calendar_type_txt_Regular School, Traditional Calendar",0.75,0.52,0.33,0.36,0.95,0.0,0.0,0.06,0.37
Domestic production activities deduction Amt 100KLT200K,0.64,0.4,0.37,0.4,0.77,0.01,0.03,0.37,0.37
Crime_Rate_MVT_Rate,0.64,0.59,0.33,0.41,0.8,0.01,0.0,0.16,0.37
Attrition_Reason_BeyondControlPerct,0.64,0.33,0.22,0.23,0.9,0.01,0.14,0.47,0.37
0-3 Years_LEA_Exp_Pct_Prin,0.64,0.4,0.33,0.36,0.91,0.02,0.09,0.22,0.37
Domestic production activities deduction Ct 25KLT50K,0.64,0.48,0.33,0.36,0.78,0.0,0.02,0.28,0.36
lea_nbpts_num,0.64,0.37,0.29,0.3,0.66,0.06,0.13,0.4,0.36
10+ Years_LEA_Exp_Pct_Prin,0.64,0.45,0.33,0.36,0.9,0.01,0.04,0.12,0.36
4-10 Years_LEA_Exp_Pct_Prin,0.64,0.44,0.33,0.36,0.9,0.03,0.04,0.15,0.36
Residential energy tax credit Amt LT25K,0.64,0.51,0.33,0.36,0.84,0.0,0.0,0.16,0.36
EOGMathGr4_CACR_EDS,0.64,0.52,0.35,0.4,0.64,0.0,0.09,0.27,0.36
Alternative minimum tax Amt 50KLT75K,0.64,0.47,0.33,0.36,0.79,0.0,0.01,0.32,0.36
Deductible points Amt LT25K,0.64,0.49,0.33,0.36,0.85,0.0,0.0,0.24,0.36
st_emer_prov_teach_pct,0.6,0.43,0.36,0.39,0.98,0.0,0.01,0.08,0.36
SBE District_Southeast,0.64,0.55,0.33,0.4,0.84,0.0,0.01,0.07,0.36
(VITA) prepared returns Ct 50KLT75K,0.64,0.39,0.33,0.33,0.88,0.0,0.0,0.32,0.36
Crime_Rate_Arson_Rate,0.64,0.46,0.29,0.35,0.73,0.02,0.0,0.36,0.36
Self-employed (Keogh) retirement plans Amt LT25K,0.64,0.31,0.33,0.36,0.86,0.0,0.0,0.37,0.36
Crime_Rate_Violent_Rate,0.64,0.22,0.33,0.36,0.85,0.01,0.06,0.43,0.36
Attrition_Reason_InitiatedPerct,0.64,0.43,0.33,0.36,0.89,0.01,0.06,0.2,0.36
lea_long_susp_per_c_num,0.64,0.49,0.33,0.64,0.66,0.02,0.04,0.08,0.36
Advance premium tax credit Amt GE200K,0.64,0.56,0.33,0.36,0.83,0.0,0.0,0.06,0.35
EOGScienceGr5&8_CACR_Black,0.64,0.49,0.35,0.39,0.55,0.0,0.02,0.36,0.35
"calendar_type_txt_Magnet School, Traditional Calendar",0.58,0.51,0.33,0.36,0.97,0.0,0.0,0.08,0.35
lea_total_expense_num,0.45,0.42,0.33,0.36,1.0,0.01,0.11,0.15,0.35
category_cd_I,0.68,0.39,0.3,0.33,0.96,0.0,0.02,0.11,0.35
category_cd_M,0.58,0.45,0.33,0.36,0.94,0.0,0.03,0.11,0.35
LEACode,0.64,0.44,0.33,0.37,0.91,0.01,0.0,0.12,0.35
unit_code,0.64,0.44,0.34,0.38,0.91,0.01,0.0,0.11,0.35
lea_stud_internet_comp_num,0.64,0.51,0.33,0.37,0.82,0.01,0.01,0.09,0.35
calendar_only_txt_Year-Round Calendar,0.68,0.46,0.33,0.36,0.95,0.0,0.0,0.04,0.35
"calendar_type_txt_Regular School, Year-Round Calendar",0.67,0.45,0.33,0.36,0.94,0.0,0.0,0.04,0.35
