VIF Factor,ABSVIFFactor,features,indexes
1.0303800516498798,1.0303800516498798,digital_media_pct,336
1.0333644004472555,1.0333644004472555,esea_status_RF,340
1.1284181963498492,1.1284181963498492,crime_per_c_num,335
1.1835755748341226,1.1835755748341226,expelled_per_c_num,341
1.2241371107071672,1.2241371107071672,esea_status_R,339
1.2439988343486763,1.2439988343486763,stud_internet_comp_num,399
1.3336542808029854,1.3336542808029854,lea_expelled_per_c_num,354
1.3626436008849565,1.3626436008849565,esea_status_P,338
1.3956981080589974,1.3956981080589974,books_per_student,322
1.3969297488776788,1.3969297488776788,Not Demostrated_TCHR_Standard 1_Pct,264
1.4053868967972556,1.4053868967972556,Not Demostrated_TCHR_Standard 4_Pct,266
1.637999620761968,1.637999620761968,(TCE) prepared returns Ct 100KLT200K,0
1.726835496836723,1.726835496836723,EOGGr5_CACR_AmericanIndian,121
1.7359820113354163,1.7359820113354163,Byod_Yes,32
1.7711309480777364,1.7711309480777364,lea_emer_prov_teach_pct,353
1.8326114483665117,1.8326114483665117,Not Demostrated_TCHR_Standard 5_Pct,267
1.8344047111327302,1.8344047111327302,Grad_project_status_Y,250
1.8777327436240212,1.8777327436240212,EOGGr5_CACR_LEP,125
1.8884230851406572,1.8884230851406572,_1_to_1_access_Yes,318
1.977675698423765,1.977675698423765,EOCMathI_CACR_AmericanIndian,61
2.003170432714965,2.003170432714965,Not Demostrated_TCHR_Standard 2_Pct,265
2.060756943745349,2.060756943745349,Alternative minimum tax Amt LT25K,26
2.0659875068127493,2.0659875068127493,lea_not_highqual_class_lp_pct,367
2.0660328833445516,2.0660328833445516,EOGReadingGr4_CACR_AmericanIndian,193
2.092119785681729,2.092119785681729,advance_dgr_pct,319
2.1957840797981953,2.1957840797981953,pct_GCE_ALL,384
2.2337039360103064,2.2337039360103064,calendar_type_txt_Hospital School,323
2.279651891852628,2.279651891852628,Alternative minimum tax Amt 25KLT50K,23
2.34712945320829,2.34712945320829,SBE District_Northeast,292
2.3593855905369208,2.3593855905369208,EOGGr4_CACR_AmericanIndian,108
2.4108130005931194,2.4108130005931194,EOGReadingGr5_GLP_AmericanIndian,209
2.4502746327211535,2.4502746327211535,EOGGr3_CACR_TwoorMoreRaces,103
2.456235542484592,2.456235542484592,EOGGr4_CACR_TwoorMoreRaces,115
2.4922440271186237,2.4922440271186237,EVAAS Growth Status_Met,244
2.55185074780887,2.55185074780887,closed_ind,334
2.633223952056162,2.633223952056162,EOGScienceGr5&8_CACR_AmericanIndian,214
2.6727873540520912,2.6727873540520912,lea_crime_per_c_num,352
2.7089757751225596,2.7089757751225596,EOGGr3_CACR_AmericanIndian,97
2.7911565644335163,2.7911565644335163,EOGGr5_CACR_TwoorMoreRaces,127
2.81723207905975,2.81723207905975,SBE District_Northwest,293
2.92556294331792,2.92556294331792,SBE District_Western,298
2.9316638270412367,2.9316638270412367,SBE District_Southeast,296
2.966263519748529,2.966263519748529,Does Not Meet Expected Growth_TCHR_Standard 6_Pct,49
3.0984087035214505,3.0984087035214505,SPG Grade_A+NG,299
3.098877850383558,3.098877850383558,EOGGr5_CACR_Asian,122
3.1203837797398433,3.1203837797398433,lea_stud_internet_comp_num,374
3.127060618183429,3.127060618183429,"calendar_type_txt_Special Education, Traditional Calendar",329
3.1314122265177633,3.1314122265177633,Residential energy tax credit Amt LT25K,291
3.1813320776409757,3.1813320776409757,lea_not_highqual_class_hp_pct,366
3.2079765430985008,3.2079765430985008,EOGMathGr4_CACR_Asian,154
3.217515728684741,3.217515728684741,State Gap Compared_Y,309
3.229132677057551,3.229132677057551,EOGReadingGr3_CACR_AmericanIndian,184
3.2560584132948622,3.2560584132948622,EOGMathGr3_CACR_Asian,143
3.3455770358055683,3.3455770358055683,"calendar_type_txt_Magnet School, Year-Round Calendar",325
3.3640362281762712,3.3640362281762712,SBE District_Sandhills,295
3.412192780509149,3.412192780509149,EOGGr4_CACR_Asian,109
3.417217090383431,3.417217090383431,lea_advance_dgr_pct,345
3.4958450623317563,3.4958450623317563,EOGMathGr5_CACR_LEP,170
3.496019399046195,3.496019399046195,EOGGr3_CACR_Asian,98
3.517078306062434,3.517078306062434,EOGReadingGr5_CACR_LEP,206
3.5564264968748316,3.5564264968748316,EOGMathGr3_CACR_AIG,141
3.6097918597883543,3.6097918597883543,EOGMathGr4_CACR_AmericanIndian,153
3.6342838261826778,3.6342838261826778,Crime_Rate_Murder_Rate,35
3.6908481685595875,3.6908481685595875,EOCSubjects_CACR_Black,77
3.7392021316075774,3.7392021316075774,EOGReadingGr5_CACR_AmericanIndian,202
3.7408503351593954,3.7408503351593954,EOGGr3_CACR_AIG,95
3.784501624239953,3.784501624239953,nbpts_num,383
3.814887476288234,3.814887476288234,EOCMathI_CACR_Black,63
3.8465329471195617,3.8465329471195617,Exceeds Expected Growth_TCHR_Standard 6_Pct,247
3.9033834869098714,3.9033834869098714,lea_sat_participation_pct,370
3.9984610446520903,3.9984610446520903,lea_long_susp_per_c_num,364
4.05921787083661,4.05921787083661,EOGScienceGr5&8_CACR_TwoorMoreRaces,221
4.087489096946786,4.087489096946786,long_susp_per_c_num,382
4.12976224159974,4.12976224159974,EOGMathGr4_CACR_AIG,152
4.144295978785209,4.144295978785209,Crime_Rate_Rape_Rate,36
4.163101732017637,4.163101732017637,Developing_TCHR_Standard 1_Pct,39
4.270003949695634,4.270003949695634,EOGReadingGr4_CACR_LEP,197
4.323491181595636,4.323491181595636,Crime_Rate_Arson_Rate,33
4.327258712201477,4.327258712201477,avg_daily_attend_pct,321
4.339718918013033,4.339718918013033,EOCMathI_CACR_EDS,64
4.344195678143193,4.344195678143193,EOCMathI_CACR_Hispanic,66
4.363752874869623,4.363752874869623,EOGMathGr3_CACR_TwoorMoreRaces,149
4.4451833700287695,4.4451833700287695,EOGReadingGr3_CACR_TwoorMoreRaces,190
4.446725017251131,4.446725017251131,EOGGr4_GLP_SWD,118
