unit_code,School_Name,Lea_Name,County,Year,Index Rate,Violent Rate,Property Rate,Murder Rate,Rape Rate,Robbery Rate,Assault Rate,Burglary Rate,Larceny Rate,MVT Rate,Arson Rate
010406,Woodlawn Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010358,Hillcrest Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010360,Hugh M Cummings High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010362,Marvin B Smith Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010364,North Graham Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010372,"Pleasant Grove Elementary, Burlington",Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010378,Ray Street Academy,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010380,South Graham Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010357,Haw River Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010384,South Mebane Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010390,"Southern Middle, Graham",Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010392,Sylvan Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010394,Turrentine Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010396,Walter M Williams High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010400,Western Alamance High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010403,Western Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010LEA,,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010388,Southern High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010354,Harvey R Newlin Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010374,R Homer Andrews Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010351,Grove Park Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010353,Hawfields Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010304,Alexander Wilson Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010308,Altamahaw Ossipee Elem,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010310,Broadview Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
