County,FIPS_Code,County_Seat,Created,Origin,Etymoloty,Population_2017,Area,Map,_1yr_tchr_trnovr_pct,szip_ad
Alamance County,001,Graham,1849,Orange County,"The Battle of Alamance which was derived from the local Indian word meaning """"blue clay"""" found in the Great Alamance Creek","157,844","435 sq mi(1,127 km2)",,0.13866666666666663,27248.527777777777
Alexander County,003,Taylorsville,1847,"Caldwell County, Iredell County, and Wilkes County","William J. Alexander, member of the legislature and Speaker of the North Carolina House of Commons","37,159",263 sq mi(681 km2),,0.0877,28672.545454545456
Alleghany County,005,Sparta,1859,Ashe County,"Derived from a corruption of the Delaware Indian name for the Allegheny and Ohio Rivers and is said to have meant """"a fine stream""""","10,935",236 sq mi(611 km2),,0.0555,28659.0
Anson County,007,Wadesboro,1750,Bladen County,"George, Lord Anson (1697–1762), a celebrated English admiral who circumnavigated the globe","25,531","537 sq mi(1,391 km2)",,0.2553636363636364,28185.909090909092
Ashe County,009,Jefferson,1799,Wilkes County,"Samuel Ashe (1725–1813), a Revolutionary patriot, superior court judge, and governor of North Carolina","26,833","427 sq mi(1,106 km2)",,0.07379999999999999,28682.8
Avery County,011,Newland,1911,"Caldwell County, Mitchell County, and Watauga County","Waightstill Avery (1741–1821), a soldier of the Revolution and Attorney General of North Carolina","17,535",247 sq mi(640 km2),,0.06472727272727273,28642.090909090908
Beaufort County,013,Washington,1712,Bath County,"Henry Somerset, Duke of Beaufort, who in 1709 became one of the Lords Proprietor","47,316","959 sq mi(2,484 km2)",,0.13014285714285714,27859.14285714286
Bertie County,015,Windsor,1722,Chowan County,"James or Henry Bertie, two Lords Proprietor of colonial North Carolina","19,913","741 sq mi(1,919 km2)",,0.29100000000000004,27936.375
Bladen County,017,Elizabethtown,1734,New Hanover County,"Martin Bladen, a member of the Board of Trade","34,130","887 sq mi(2,297 km2)",,0.17300000000000001,28365.076923076922
Brunswick County,019,Bolivia,1764,Bladen County and New Hanover County,"George I of Great Britain (1660–1727), Duke of Brunswick and Lüneburg","122,586","860 sq mi(2,227 km2)",,0.11731578947368419,28448.263157894737
Buncombe County,021,Asheville,1791,Burke County and Rutherford County,"Edward Buncombe, a Revolutionary soldier, who was wounded and captured at the Battle of Germantown, and died a paroled prisoner in Philadelphia","252,268","660 sq mi(1,709 km2)",,0.13784313725490194,28773.403846153848
Burke County,023,Morganton,1777,Rowan County,"Thomas Burke (1747–1783), a member of the Continental Congress and governor of North Carolina","88,898","515 sq mi(1,334 km2)",,0.113,28649.11111111111
Cabarrus County,025,Concord,1792,Mecklenburg County,"Stephen Cabarrus (1754–1808), member of the legislature and Speaker of the North Carolina House of Commons","196,716",365 sq mi(945 km2),,0.12426666666666664,28049.106382978724
Caldwell County,027,Lenoir,1841,Burke County and Wilkes County,"Joseph Caldwell (1773–1835), the first president of the University of North Carolina","81,805","474 sq mi(1,228 km2)",,0.08261538461538463,28638.884615384617
Camden County,029,Camden,1777,Pasquotank County,"Charles Pratt, 1st Earl Camden (1714–1794), who opposed the taxation of the American colonists","10,336",306 sq mi(793 km2),,0.06125,27921.0
Carteret County,031,Beaufort,1722,Craven County,"John Carteret, 2nd Earl Granville (1690–1763), who inherited one-eighth share in the Province of Carolina through his great-grandfather George Carteret","68,699","1,341 sq mi(3,473 km2)",,0.12658823529411767,28552.235294117647
Caswell County,033,Yanceyville,1777,Orange County,"Richard Caswell (1729–1789), member of the first Continental Congress and first governor of North Carolina after the Declaration of Independence","22,833","428 sq mi(1,109 km2)",,0.16949999999999998,27345.666666666668
Catawba County,035,Newton,1842,Lincoln County,Catawba Indians,"156,182","414 sq mi(1,072 km2)",,0.13146511627906976,28611.93023255814
Chatham County,037,Pittsboro,1771,Orange County,"William Pitt, 1st Earl of Chatham (1708–1778), Secretary of State during the French and Indian War and was later Prime Minister of Great Britain","68,364","709 sq mi(1,836 km2)",,0.12664705882352942,27340.11111111111
Cherokee County,039,Murphy,1839,Macon County,Cherokee Indians,"27,463","497 sq mi(1,287 km2)",,0.09742857142857142,28904.785714285714
Chowan County,041,Edenton,1668,Albemarle County,Chowan Indian tribe,"14,370",233 sq mi(603 km2),,0.18175,27944.0
Clay County,043,Hayesville,1861,Cherokee County,"Henry Clay (1777–1852), statesman and orator who represented Kentucky in both the House of Representatives and Senate","10,753",221 sq mi(572 km2),,0.11399999999999999,28904.0
Cleveland County,045,Shelby,1841,Lincoln County and Rutherford County,"Benjamin Cleveland (1738–1806), a colonel in the American Revolutionary War who took part in the Battle of Kings Mountain","97,038","469 sq mi(1,215 km2)",,0.10182758620689657,28120.172413793105
Columbus County,047,Whiteville,1808,Bladen County and Brunswick County,"Christopher Columbus (1451–1507), navigator, explorer, and one of the first Europeans to explore the Americas","56,589","954 sq mi(2,471 km2)",,0.1615652173913044,28455.17391304348
Craven County,049,New Bern,1705,Bath County,"William, Earl of Craven (1608–1697), who was a Lords Proprietor of colonial North Carolina","103,374","774 sq mi(2,005 km2)",,0.18384,28551.16
Cumberland County,051,Fayetteville,1754,Bladen County,"Prince William, Duke of Cumberland (1721–1765), a military leader and son of George II","332,766","658 sq mi(1,704 km2)",,0.15706976744186046,28318.816091954024
Currituck County,053,Currituck,1668,Albemarle County,"Traditionally said to be an Indian word for wild geese, also rendered """"Coratank""""","25,247","526 sq mi(1,362 km2)",,0.0888,27943.1
Dare County,055,Manteo,1870,"Currituck County, Hyde County, and Tyrrell County","Virginia Dare (b. 1587), the first child born of English parents in America","35,412","1,562 sq mi(4,046 km2)",,0.05454545454545456,27946.18181818182
Davidson County,057,Lexington,1822,Rowan County,"William Lee Davidson (1746–1781), an American Revolutionary War general who was mortally wounded at Cowan's Ford","164,118","567 sq mi(1,469 km2)",,0.127,27291.347826086956
Davie County,059,Mocksville,1836,Rowan County,"William Richardson Davie (1756–1820), a member of the Federal Convention and governor of North Carolina","41,766",267 sq mi(692 km2),,0.09941666666666667,27023.166666666668
Duplin County,061,Kenansville,1750,New Hanover County,"Thomas Hay, Viscount Dupplin (1710–1787), who was the 9th earl of Kinnoull","59,350","819 sq mi(2,121 km2)",,0.1755625,28430.125
Durham County,063,Durham,1881,Orange County and Wake County,The city of Durham which was named in honor of Dr. Bartlett Snipes Durham who donated the land on which the railroad station was located,"300,865",298 sq mi(772 km2),,0.19061111111111112,27702.444444444445
Edgecombe County,065,Tarboro,1741,Bertie County,"Richard Edgcumbe, 1st Baron Edgcumbe (1680–1758), a Lord High Treasurer and Paymaster-General for Ireland","54,032","507 sq mi(1,313 km2)",,0.0,27858.14285714286
Forsyth County,067,Winston-Salem,1849,Stokes County,"Benjamin Forsyth (d. 1814), an American officer during the War of 1812","368,362","413 sq mi(1,070 km2)",,0.1450625,27124.175
Franklin County,069,Louisburg,1779,Bute County,"Benjamin Franklin (1706–1790), an author, politician, statesman, and Founding Father of the United States","63,866","495 sq mi(1,282 km2)",,0.240625,27545.625
Gaston County,071,Gastonia,1846,Lincoln County,"William Gaston (1778–1844), a United States Congressman and justice of the North Carolina Supreme Court","214,049",364 sq mi(943 km2),,0.1288867924528302,28053.574074074073
Gates County,073,Gatesville,1779,"Chowan County, Hertford County, and Perquimans County","Horatio Gates (1727–1806), an American general during the Revolution at the Battle of Saratoga","11,601",346 sq mi(896 km2),,0.13079999999999997,27946.0
Graham County,075,Robbinsville,1872,Cherokee County,"William Alexander Graham (1804–1875), a United States Senator, governor of North Carolina, and United States Secretary of the Navy","8,607",302 sq mi(782 km2),,0.09133333333333332,28771.0
Granville County,077,Oxford,1746,Edgecombe County,"John Carteret, 2nd Earl Granville (1690–1763), who inherited one-eighth share in the Province of Carolina through his great-grandfather George Carteret","58,503","537 sq mi(1,391 km2)",,0.15644444444444447,27545.315789473683
Greene County,079,Snow Hill,1799,Dobbs CountyOriginally named Glasgow County,"Nathanael Greene (1742–1786), a major general of the Continental Army in the American Revolutionary War","21,059",266 sq mi(689 km2),,0.12516666666666668,28580.0
Guilford County,081,Greensboro,1771,Orange County and Rowan County,"Francis North, 1st Earl of Guilford (1704–1790), a British politician and father of Prime Minister of Great Britain Frederick North","517,197","658 sq mi(1,704 km2)",,0.13135714285714284,27356.071428571428
Halifax County,083,Halifax,1758,Edgecombe County,"George Montagu-Dunk, 2nd Earl of Halifax (1716–1771), a British statesman and President of the Board of Trade","52,300","731 sq mi(1,893 km2)",,0.237,27858.61111111111
Harnett County,085,Lillington,1855,Cumberland County,"Cornelius Harnett (1723–1781), an American Revolutionary and delegate in the Continental Congress","128,753","601 sq mi(1,557 km2)",,0.19825000000000004,27884.85714285714
Haywood County,087,Waynesville,1808,Buncombe County,"John Haywood (1754–1827), a North Carolina State Treasurer","59,854","555 sq mi(1,437 km2)",,0.10546666666666667,28745.266666666666
Henderson County,089,Hendersonville,1838,Buncombe County,"Leonard Henderson (1772–1833), Chief Justice of the North Carolina Supreme Court","112,156",375 sq mi(971 km2),,0.11382608695652176,28764.695652173912
Hertford County,091,Winton,1759,"Bertie County, Chowan County, and Northampton County","Francis Seymour-Conway, 1st Marquess of Hertford (1718–1794), who was Lord of the Bedchamber to George II and George III","24,262",360 sq mi(932 km2),,0.21542857142857144,27905.14285714286
Hoke County,093,Raeford,1911,Cumberland County and Robeson County,"Robert Hoke (1837–1912), a Confederate general during the American Civil War","52,571","392 sq mi(1,015 km2)",,0.24771428571428575,28373.35714285714
Hyde County,095,Swan Quarter,1712,Bath County,"Edward Hyde (c. 1650–1712), a governor of colonial North Carolina","5,507","1,424 sq mi(3,688 km2)",,0.106,27910.0
Iredell County,097,Statesville,1788,Rowan County,"James Iredell (1751–1799), a comptroller at the port of Edenton and one of the original justices of the Supreme Court of the United States","169,798","597 sq mi(1,546 km2)",,0.12536363636363637,28378.909090909092
