Feature,Pearson,Linear Regression,RFE,Lasso,Ridge,Elastic Net,Total
Science Score,True,True,True,True,True,True,6
Reading SPG Score,True,True,True,True,True,True,6
EOGSubjects_CACR_TwoorMoreRaces,True,True,True,True,True,True,6
EOGSubjects_CACR_Asian,True,True,True,True,True,True,6
EOGScienceGr5&8_CACR_White,True,True,True,True,True,True,6
EOGReadingGr4_GLP_SWD,True,True,True,True,True,True,6
EOGMathGr4_CACR_White,True,True,True,True,True,True,6
EOGMathGr3_CACR_White,True,True,True,True,True,True,6
EOGMathGr3-8_CACR_EDS,True,True,True,True,True,True,6
EOGGr5_CACR_White,True,True,True,True,True,True,6
EOGGr5_CACR_Black,True,True,True,True,True,True,6
EOGGr4_CACR_White,True,True,True,True,True,True,6
EOGGr4_CACR_All,True,True,True,True,True,True,6
EOGGr3_CACR_White,True,True,True,True,True,True,6
EOGGr3_CACR_SWD,True,True,True,True,True,True,6
EOG/EOCSubjects_CACR_White,True,True,True,True,True,True,6
EOG/EOCSubjects_CACR_TwoorMoreRaces,True,True,True,True,True,True,6
EOG/EOCSubjects_CACR_LEP,True,True,True,True,True,True,6
EOG/EOCSubjects_CACR_EDS,True,True,True,True,True,True,6
EOG/EOCSubjects_CACR_Black,True,True,True,True,True,True,6
EOG/EOCSubjects_CACR_Asian,True,True,True,True,True,True,6
03_Size,True,True,True,True,True,True,6
tchyrs_11plus_pct,True,True,True,True,True,False,5
st_avg_student_num,True,True,True,True,False,True,5
lea_local_perpupil_num,False,True,True,True,True,True,5
lea_ap_participation_pct,False,True,True,True,True,True,5
flicensed_teach_pct,True,True,True,True,True,False,5
TotalTargets_pTarget_PctMet,False,True,True,True,True,True,5
SciGr5&8_pTarget_PctMet,True,True,True,False,True,True,5
Proficient_TCHR_Standard 1_Pct,True,True,True,True,True,False,5
Number of farm returns LT25K,True,True,True,True,True,False,5
Number of farm returns 75KLT100K,True,True,True,True,True,False,5
MathGr3-8_pTarget_PctMet,True,True,True,False,True,True,5
Exceeds Expected Growth_TCHR_Student Growth_Pct,True,True,True,True,True,False,5
EVAAS Growth Score,True,True,False,True,True,True,5
EOGSubjects_CACR_SWD,True,True,True,False,True,True,5
EOGSubjects_CACR_LEP,True,True,True,False,True,True,5
EOGSubjects_CACR_AIG,True,True,True,False,True,True,5
EOGScienceGr5_CACR_Black,False,True,True,True,True,True,5
EOGReadingGr5_CACR_SWD,True,True,True,False,True,True,5
EOGReadingGr4_CACR_SWD,True,True,True,False,True,True,5
EOGReadingGr3_GLP_LEP,False,True,True,True,True,True,5
EOGReadingGr3_CACR_Black,False,True,True,True,True,True,5
EOGReadingGr3-8_GLP_SWD,True,True,True,False,True,True,5
EOGReadingGr3-8_CACR_SWD,True,True,True,False,True,True,5
EOGMathGr5_CACR_White,True,False,True,True,True,True,5
EOGMathGr5_CACR_EDS,True,False,True,True,True,True,5
EOGMathGr4_CACR_AmericanIndian,False,True,True,True,True,True,5
EOGMathGr3_CACR_Black,False,True,True,True,True,True,5
EOGGr5_CACR_All,True,False,True,True,True,True,5
EOG/EOCSubjects_CACR_SWD,True,True,True,False,True,True,5
EOG/EOCSubjects_CACR_AIG,True,True,True,False,True,True,5
EOCSubjects_CACR_TwoorMoreRaces,False,True,True,True,True,True,5
EOCSubjects_CACR_LEP,False,True,True,True,True,True,5
EOCSubjects_CACR_Hispanic,False,True,True,True,True,True,5
EOCSubjects_CACR_Asian,False,True,True,True,True,True,5
EOCMathI_CACR_Hispanic,False,True,True,True,True,True,5
EOCMathI_CACR_Female,False,True,True,True,True,True,5
Developing_TCHR_Standard 2_Pct,True,True,True,True,True,False,5
Crime_Rate_Murder_Rate,True,True,True,True,True,False,5
Accomplished_TCHR_Standard 3_Pct,True,True,True,True,True,False,5
4-10 Years_LEA_Exp_Pct_Prin,True,True,True,True,True,False,5
04_Size,True,False,True,True,True,True,5
st_emer_prov_teach_pct,True,True,True,True,False,False,4
school_type_txt_Regular School,True,True,True,False,True,False,4
pct_GCE_ALL,True,False,True,True,False,True,4
lea_tchyrs_4thru10_pct,True,True,True,True,False,False,4
lea_tchyrs_0thru3_pct,True,True,True,True,False,False,4
lea_ap_pct_3_or_above,True,False,True,True,False,True,4
lateral_teach_pct,True,True,True,False,True,False,4
SPG Score,True,False,False,True,True,True,4
SPG Grade_I,False,True,True,True,True,False,4
SPG Grade_C,False,True,True,True,True,False,4
SBE District_Western,False,True,True,True,True,False,4
Proficient_TCHR_Standard 5_Pct,True,True,True,False,True,False,4
Proficient_TCHR_Standard 4_Pct,True,True,True,False,True,False,4
Proficient_TCHR_Standard 3_Pct,True,True,True,False,True,False,4
Proficient_TCHR_Standard 2_Pct,True,True,True,False,True,False,4
Other non-limited misc deduction Amt 75KLT100K,False,True,True,True,True,False,4
Number of farm returns 50KLT75K,True,True,True,False,True,False,4
Number of farm returns 100KLT200K,True,True,True,False,True,False,4
Math SPG Grade_B,True,True,False,True,True,False,4
Investment interest paid Amt LT25K,False,True,True,True,True,False,4
Home mortgage interest paid from personal seller Amt LT25K,False,True,True,True,True,False,4
EOGScienceGr5_CACR_LEP,False,True,True,False,True,True,4
EOGScienceGr5_CACR_EDS,True,False,True,True,False,True,4
EOGScienceGr5_CACR_AmericanIndian,False,False,True,True,True,True,4
EOGScienceGr5&8_CACR_Black,False,True,False,True,True,True,4
EOGReadingGr5_GLP_SWD,True,False,True,False,True,True,4
EOGReadingGr5_GLP_AmericanIndian,False,False,True,True,True,True,4
EOGReadingGr4_CACR_EDS,True,False,True,True,False,True,4
EOGReadingGr4_CACR_AmericanIndian,False,False,True,True,True,True,4
EOGMathGr5_CACR_Hispanic,True,False,False,True,True,True,4
EOGMathGr5_CACR_AIG,True,False,True,False,True,True,4
EOGMathGr4_CACR_EDS,True,False,False,True,True,True,4
EOGMathGr3_CACR_LEP,False,True,True,False,True,True,4
EOGMathGr3_CACR_Hispanic,True,False,False,True,True,True,4
EOGMathGr3_CACR_EDS,True,False,False,True,True,True,4
