,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
tchyrs_0thru3_pct,0.5,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.94
lateral_teach_pct,0.5,0.39,0.7,0.63,0.84,0.08,0.74,0.63,0.56
Proficient_TCHR_Standard 1_Pct,0.5,0.52,0.52,0.54,0.95,0.1,0.48,0.49,0.51
tchyrs_11plus_pct,0.5,0.77,0.3,0.31,0.98,0.07,0.45,0.52,0.49
flicensed_teach_pct,0.5,0.23,0.32,0.22,0.98,0.22,0.66,0.69,0.48
Developing_TCHR_Standard 4_Pct,0.5,0.48,0.6,0.6,0.71,0.02,0.32,0.31,0.44
Attrition_Reason_OtherReasonsPerct,0.5,0.48,0.52,0.48,0.99,0.07,0.16,0.24,0.43
Crime_Rate_Murder_Rate,0.5,0.63,0.56,0.63,0.84,0.02,0.15,0.14,0.43
EOG/EOCSubjects_CACR_AIG,0.5,0.69,0.37,0.49,0.88,0.02,0.08,0.3,0.42
lea_services_expense_pct,0.61,0.54,0.41,0.43,1.0,0.04,0.18,0.17,0.42
Proficient_TCHR_Standard 2_Pct,0.5,0.45,0.32,0.31,0.95,0.03,0.33,0.41,0.41
Domestic production activities deduction Ct 75KLT100K,0.5,0.68,0.44,0.53,0.93,0.0,0.0,0.08,0.4
Proficient_TCHR_Standard 3_Pct,0.5,0.39,0.32,0.31,0.97,0.03,0.28,0.38,0.4
lea_tchyrs_0thru3_pct,0.5,0.44,0.47,0.47,0.39,0.11,0.48,0.34,0.4
Accomplished_TCHR_Standard 2_Pct,0.5,0.48,0.36,0.36,0.95,0.03,0.26,0.26,0.4
Accomplished_TCHR_Standard 3_Pct,0.5,0.4,0.32,0.31,0.97,0.04,0.29,0.32,0.39
Accomplished_TCHR_Standard 5_Pct,0.5,0.44,0.32,0.31,0.96,0.03,0.25,0.3,0.39
Proficient_TCHR_Standard 5_Pct,0.5,0.44,0.32,0.31,0.97,0.02,0.26,0.28,0.39
Developing_TCHR_Standard 2_Pct,0.5,0.47,0.39,0.4,0.84,0.02,0.2,0.29,0.39
